gene,f_score,p_value
220156_at,178.926593818569,1.001524650884847e-50
212993_at,150.14214308963167,9.69506890910515e-47
240065_at,140.06321306603314,3.412147377420305e-45
242162_at,139.60358125833227,4.0336240485007284e-45
220308_at,139.06161813920082,4.91620627410435e-45
216073_at,132.0522564835118,6.733759618126927e-44
209170_s_at,127.44452697192342,4.0013937946983606e-43
204933_s_at,127.40248622386878,4.067947185785488e-43
231077_at,122.99799877630929,2.3474245134166655e-42
233516_s_at,122.53030195929466,2.8358896734816142e-42
229818_at,121.48525105730947,4.33545709654505e-42
212636_at,120.79169551566275,5.755343449300972e-42
213395_at,119.88501212191655,8.351436532931928e-42
209109_s_at,117.94310452554521,1.8678211549889944e-41
240275_at,117.34423806115497,2.3991331767737244e-41
231220_at,116.43392119220982,3.516836697688618e-41
216663_s_at,115.97649147634404,4.265798857086208e-41
230706_s_at,114.69278056448817,7.356978988690541e-41
220591_s_at,114.67029920504505,7.427851328392429e-41
241310_at,114.4827419497987,8.046830462742116e-41
204465_s_at,114.0478249592287,9.691776432328279e-41
223654_s_at,111.29960009198685,3.18030325566142e-40
1555804_a_at,110.596304783682,4.326375663553427e-40
239500_at,110.2957151370882,4.9368509732505695e-40
1555082_a_at,109.57014160286394,6.797124372940207e-40
230763_at,108.54485123883804,1.070986977341803e-39
205906_at,108.38636262767238,1.149306000121848e-39
201876_at,108.14959097505138,1.277295802665813e-39
238966_at,107.5648845269989,1.6590700849762957e-39
1562371_s_at,106.53504091644281,2.6367119929524897e-39
226872_at,106.21088009261722,3.052829891927125e-39
238100_at,105.04309380570783,5.1904860187310366e-39
204932_at,104.93925084594481,5.442522031589458e-39
49111_at,104.28373974506101,7.34767688852729e-39
242999_at,103.98070203527456,8.445428979170404e-39
205932_s_at,101.98467121454044,2.1297565377343318e-38
237585_at,100.77710167639201,3.752073974510054e-38
214998_at,100.35863122242176,4.571109247024591e-38
237168_at,100.180092681393,4.973808057579566e-38
1553635_s_at,99.87509804181738,5.74701124300141e-38
217763_s_at,99.74296414342732,6.11890621944749e-38
231084_at,98.96058804618738,8.881302345905438e-38
236085_at,97.73417255622238,1.5997976828789143e-37
1552269_at,97.57924927689946,1.7239438512536703e-37
236915_at,96.41001604728224,3.039118575445514e-37
210232_at,96.26844663452005,3.2562079957928094e-37
217762_s_at,96.14255154238703,3.462476105430535e-37
239916_at,95.79457106536312,4.104434249301322e-37
230093_at,95.5586077777147,4.607402220033586e-37
228100_at,95.29882614402567,5.234002004129093e-37
221861_at,94.83959042286189,6.561545325942207e-37
214956_at,94.4566534463506,7.927562097341672e-37
230412_at,93.34820107799702,1.3749663306454695e-36
217764_s_at,93.11960308250195,1.5412588372304424e-36
229012_at,92.97142471494314,1.6598323691795384e-36
205186_at,92.93385623289409,1.6913413045515112e-36
240532_at,92.79960030491607,1.8089945561157853e-36
217231_s_at,92.73372066553722,1.8697355409711145e-36
214230_at,92.70056603200389,1.901083865164956e-36
219182_at,92.61320624406856,1.9862662403440283e-36
43511_s_at,92.49768102720947,2.1049003090839834e-36
220168_at,92.46533372567959,2.139390728060939e-36
239722_at,92.45999351029867,2.1451397271387063e-36
207463_x_at,91.98457447205001,2.7252994171859028e-36
233326_at,91.98188334678963,2.7290017699801223e-36
1563646_a_at,91.95101984790168,2.7718298179870034e-36
1562309_s_at,91.82178904581275,2.9587047103728647e-36
228422_at,91.55680439998038,3.3829414772328105e-36
237282_s_at,91.49882926653926,3.4837175248253546e-36
227242_s_at,91.37045015069545,3.7178696698510686e-36
205852_at,90.65866218625283,5.3390698956782233e-36
205551_at,90.46801662714624,5.884602863046603e-36
210335_at,90.36838286543555,6.1919080175305e-36
233071_at,90.04813771200847,7.294648619805078e-36
209167_at,89.49667083191471,9.683124603233266e-36
239216_at,89.29939211082863,1.0719050690171526e-35
1568606_at,89.11390041287085,1.1795741695436934e-35
238229_at,88.7290095575682,1.439405061543833e-35
231133_at,88.64150774226054,1.5061800932998925e-35
237281_at,88.48505752684602,1.6335200070799044e-35
229300_at,88.33432077388262,1.7665586415877123e-35
223627_at,87.6010864155655,2.5890600534897805e-35
220919_s_at,87.53511953193102,2.679956305685919e-35
230622_at,87.22782295083907,3.1480730425382314e-35
216215_s_at,87.10863638567433,3.351281822564998e-35
204675_at,86.8516886938043,3.8359188490107836e-35
231151_at,86.82990542788131,3.8801465034722675e-35
219415_at,86.54966806465069,4.4975880949999706e-35
236638_at,86.4120870775185,4.836376916824654e-35
220389_at,86.38042329334598,4.917951562757046e-35
228636_at,86.06614313995567,5.807508026140759e-35
207853_s_at,86.00051433780402,6.013013762603284e-35
225815_at,85.87258471729542,6.435099293213845e-35
1553734_at,85.69884594866244,7.056992137515442e-35
210033_s_at,85.62747702801617,7.329840298175684e-35
243413_at,85.59160630502089,7.47099969070601e-35
219695_at,85.47355348078656,7.955370215631253e-35
243087_at,85.37168179662729,8.398943693166843e-35
232984_at,85.3113832948221,8.673255465000389e-35
1556907_at,85.24739964742275,8.974297336577623e-35
220520_s_at,85.22482221378438,9.083039667677355e-35
227053_at,85.19895136590506,9.209291604880788e-35
1557636_a_at,84.95525722122996,1.0489675417555811e-34
224092_at,84.76204852857367,1.1632395618944704e-34
241470_x_at,84.43979785231792,1.3827211025123037e-34
227091_at,84.25868024818253,1.5241069126485856e-34
219438_at,84.17142848092173,1.5973766249876156e-34
239911_at,83.68534683921376,2.076307545422503e-34
231549_at,83.59757686222476,2.1772398575186115e-34
201564_s_at,83.2720449463376,2.5971730299984803e-34
203395_s_at,83.0950833116715,2.859097446041474e-34
237314_at,82.724785387187,3.4974695806432846e-34
235343_at,82.64150250296329,3.659972696962333e-34
229281_at,82.60723371399938,3.729047224459633e-34
44040_at,81.97865273414489,5.259840758070933e-34
220316_at,81.78203731647578,5.859556961900456e-34
228260_at,81.78111355698353,5.862532795372274e-34
205277_at,81.0262296476738,8.889532284450736e-34
203389_at,80.94681042864504,9.289016550612753e-34
239765_at,80.91850030551755,9.43578802416423e-34
236909_at,80.57961918151341,1.138701473150932e-33
206013_s_at,80.57284742451604,1.1429930832886724e-33
218700_s_at,80.18225754599193,1.4205016276051888e-33
229642_at,79.9229784655482,1.6416701425730484e-33
206893_at,79.85972017460116,1.700750161432247e-33
202800_at,79.69868653330737,1.8610892645518837e-33
206076_at,79.68503443275274,1.875369601962347e-33
210016_at,79.5661292729222,2.0045513864966773e-33
229273_at,79.51856349558821,2.0587274022215598e-33
229976_at,79.5059985919238,2.0732852590155815e-33
216836_s_at,79.47727857050053,2.106954650094002e-33
210032_s_at,79.4018734520483,2.19802313630094e-33
214145_s_at,79.02837550254752,2.7116980840159673e-33
244113_at,78.98100819493814,2.785033463599441e-33
1560091_a_at,78.86671186235311,2.970400284081469e-33
207169_x_at,78.37484773552833,3.922595775154887e-33
227081_at,78.11328456996208,4.549979106378237e-33
209108_at,77.8428448590374,5.3063122278849044e-33
241198_s_at,77.82971533814603,5.3461264810207265e-33
218704_at,77.78709621342267,5.4774696449764334e-33
219542_at,77.77665127431878,5.510155955683927e-33
235066_at,77.71921166323132,5.693481606051045e-33
210830_s_at,77.5761421738025,6.177521560956221e-33
219425_at,77.20784246227672,7.625176671986892e-33
1560834_a_at,77.0162018379962,8.510385201204378e-33
207768_at,76.83686023055773,9.433289411275866e-33
243884_at,76.50716910509641,1.1403937095764174e-32
212533_at,76.49101360352721,1.1510616407160318e-32
208779_x_at,76.48718957248073,1.1536015610850285e-32
239776_at,76.10220941394755,1.440784585484675e-32
204721_s_at,76.07724612233899,1.4617430934190775e-32
200675_at,76.05783967126669,1.4782500312874944e-32
231898_x_at,76.0281980293789,1.5038292806108035e-32
204720_s_at,75.99268890799394,1.535064737852244e-32
232777_s_at,75.87814066099061,1.6403928422935863e-32
207625_s_at,75.82098556721202,1.6956644828799223e-32
220581_at,75.78075879695608,1.7356968480957538e-32
206014_at,75.49255092079301,2.052059467791733e-32
230143_at,75.10469877467033,2.572493788077227e-32
1553864_at,75.01648676101358,2.708507712208281e-32
243666_at,74.98077970655275,2.7656213108880155e-32
206502_s_at,74.95440330474324,2.8085950083568924e-32
222513_s_at,74.8969607196001,2.904546086772062e-32
227243_s_at,74.75488033148972,3.156437471357748e-32
220141_at,74.58949779132281,3.477765643383676e-32
237299_at,74.52868547393692,3.604112319393864e-32
213421_x_at,74.42336427310468,3.8340722509497433e-32
210364_at,74.40975315582227,3.864859565185227e-32
239515_at,74.35289279187637,3.9962139089405363e-32
242404_at,74.16080677079013,4.4744611159550545e-32
221945_at,74.08955008801313,4.666320504466751e-32
232426_at,74.04765558302883,4.7830027125244867e-32
